2,4-ດີອີເອສ	2,4-滴乙基硫酸钠
ພິຈີໄອ	pgi酶
ພິດຈາກສັດ	毒液
ພິດຊໍາເຮື້ອ	慢性毒性
ພິຣິມິຄາຣບ	抗蚜威
ພິຣິມິຟໍສເມທີລ	嘧啶磷
ພິວຣີນ	嘌呤
ພີວີຊີ	聚氯乙烯
ພຶດຕິກໍາ	行为
ພຶດຕິກໍາຂອງຄົນຜູ້ທີ່ມີຄວາມຜິດ	失职行为
ພຶດຕິກໍາຂອງຜູ້ບໍລິໂພກ	消费者行为
ພຶດຕິກໍາຂອງມະນຸດ	人类行为
ພຶດຕິກໍາຂອງສັດ	动物行为
ພຶດຕິກໍາທາງດ້ານວັດທະນະທໍາ	文化行为
ພຶດຕິກໍາທາງດ້ານເສດຖະກິດ	经济行为
ພຶດຕິກໍາທີ່ຜິດປົກະຕິ	异常行为
ພຶດຕິກໍາແຂງກະດ້າງ	攻击行为
ພຶດວິທະຍາກ່ຽວກັບພຶດບໍ່ມີແກ່ນ	苔藓植物学
ພຶດເປືອກຟາດ	鞣料植物
ພຶຕິກໍາ	行为
ພືກສາຊາດ	植物区系
ພືດ	植物
ພືດກາຍຍະວິພາກສາດ	植物解剖学
ພືດຄຸມ	覆盖植物
ພືດຕະກຸນຖົ່ວໃຊ້ເປັນອາຫານສັດ	饲料豆类
ພືດຕະກຸນຖົ່ວໃຫ້ເມັດ	豆类
ພືດຕະກຸນຜັກກູດ	蕨
ພືດຕະກຸນຜັກຊີ	细叶芹
ພືດຕົ້ນຕໍ່	砧木作物
ພືດຕົ້ນຜູ້	雄性植株
ພືດທັນຍາຫານ	作物
ພືດທີ່ຍັງອ່ອນ	植物幼苗期
ພືດທີ່ມີລັກສະນະຜິດປົກກະຕິ	植物失调
ພືດທີ່ເປັນປະໂຫຍດ	有用植物
ພືດທີ່ເປັນອັນຕະລາຍ	有害植物
ພືດທີ່ໃຊ້ເປັນຕົວບົ່ງຊີ້	指示植物
ພືດທົນແລ້ງ	肉质植物
ພືດທົ່ງຫຍ້າລ້ຽງສັດ	草本作物
ພືດນອກລະດູຫນາວ	作物越冬
ພືດນ້ໍາ	水生植物
ພືດນ້ໍາຕານ	糖料作物
ພືດນ້ໍາປະດັບ	水生观赏植物
ພືດນ້ໍາມັນ	油料作物
ພືດນ້ໍາເຕົ້າ	葫芦类作物
ພືດບໍ່ມີແກ່ນ	隐花植物
ພືດປັກຄຸມຊັ້ນກາງ	下层林木
ພືດປັບປຸງດິນ	土壤改良植物
ພືດປູກເຮັດຮົ້ວ	绿篱植物
ພືດປົກຄຸມ	植物覆盖
ພືດປ່າ	野生植物
ພືດຜັກ	蔬菜作物
ພືດຜັກກິນໃບ	叶菜类
ພືດຜັກປະເພດໃຫ້ຮາກ	根菜类
ພືດຜັກອາຫານສັດ	饲用十字花科植物
ພືດຜັກໃຫ້ຫມາກ	果菜
ພືດພັນທຸກໍາປູກ	转基因植物
ພືດຢືນຕົ້ນ	林园
ພືດລະດູຫນາວ	越冬作物
ພືດລົ້ມລຸກອາຍຸນຶ່ງປີ	一年生植物
ພືດລ້ຽງສັດ	嫩枝叶植物
ພືດສະຫມຸນໄພ	药用植物类
ພືດສາດ	植物学
ພືດສິນຄ້າ	经济类作物
ພືດສໍາລັບປຸກສ້າງ	结构作物
ພືດສໍາຮອງ	填闲作物
ພືດຫຍ້າ	草本植物
ພືດຫຍ້າອາຫານສັດ	牧草
ພືດຫົວ	根用作物
ພືດຫຼາຍລະດູ	多年生植物
ພືດອາຫານສັດທີ່ເປັນຢາ	加药饲料
ພືດອາຫານສັດສີຂຽວ	青绿饲料
ພືດອຸດສາຫະກໍາ	工业原料作物
ພືດເຂດຮ້ອນ	热带作物
ພືດເນື້ອໄມ້	木本植物
ພືດເມັດໃຫຍ່	粗粮
ພືດເສັ້ນໄຍ	纤维作物
ພືດແຄມນ້ໍາ	河边植被
ພືດໃບລ້ຽງດ່ຽວ	单子叶植物
ພືດໃຫ້ຂີ້ເຜິ້ງ	产蜡植物
ພືດໃຫ້ຢາງ	橡胶作物
ພືດໃຫ້ສານກະຕຸ້ນ	刺激性作物
ພືດໃຫ້ຫມາກ	果树作物
ພືດໃຫ້ຮົ່ມ	阴地植物
ພືດໃຫ້ແກ່ນ	谷类作物
ພືດໃຫ້ແກ່ນ(ເມັດ)	种用作物
ພືດໃຫ້ແປ້ງ	淀粉作物
ພືນທີ່ໃຫ້ແກ່ນໄມ້ປ່າ	采种林分
ພື້ນທີ່ກະສິກໍາ	农场
ພື້ນທີ່ກະສິກໍາຂອງລັດ	国营农场
ພື້ນທີ່ກະສິກໍາຂະຫນາດກາງ	中等规模农场
ພື້ນທີ່ກະສິກໍາຂະຫນາດນ້ອຍ	小农场
ພື້ນທີ່ກະສິກໍາຂະຫນາດໃຫຍ່	大型农场
ພື້ນທີ່ກະສິກໍາຄອບຄົວ	家庭农庄
ພື້ນທີ່ກະສິກໍາຍ່ອຍ	微利农场
ພື້ນທີ່ກະສິກໍາບໍ່ໄດ້ທໍາການຜະລິດ	田地封闭
ພື້ນທີ່ກະສິກໍາລ້ຽງງົວນົມ	牛奶场
ພື້ນທີ່ກະສິກໍາຮ່ວມກຸ່ມ	集体农场
ພື້ນທີ່ຊົນລະປະທານ	灌溉地
ພື້ນທີ່ຕ່ໍາ	低地
ພື້ນທີ່ທາງທໍາມະຊາດ	荒野
ພື້ນທີ່ທົ່ງຫຍ້າ	草原
ພື້ນທີ່ທໍາມະຊາດ	处女地
ພື້ນທີ່ປ່າໄມ້	林分
ພື້ນທີ່ພີມ	打印区域
ພື້ນທີ່ຟາມ	农田
ພື້ນທີ່ມີປ່າປົກຄຸມ	土地植被
ພື້ນທີ່ສາທາລະນະ	公用地
ພື້ນທີ່ຫນ້າຈໍ	桌面
ພື້ນທີ່ເກັບນ້ໍາ	汇水面积
ພື້ນທີ່ເປົ່າວາງ	废弃地
ພື້ນທີ່ເຫມາະສົມສໍາລັບການປູກຝັງ	土地景观
ພື້ນທີ່ເຫມາະແກ່ການປູກຝັງ	可耕地
ພື້ນທີ່ໄມ້ພຸ່ມ	灌木丛林地
ພູຄ້ຽວ	萎叶
ພູຖານ	不丹
ພູທຣີສຊິນ	腐胺
ພູມຄຸ້ມກັນຈາກໂຮໂມນ	体液免疫
ພູມຄຸ້ມກັນວິທະຍາ	免疫学
ພູມຕ້ານທານ	免疫
ພູມຕ້ານທານທີ່ຕ້ານໄດ້ຫຼາຍຊະນິດ	多克隆抗体
ພູມຕ້ານທານທີ່ໄດ້ມາຈາກພາຍນອກ	被动免疫
ພູມຕ້ານທານໄດ້ແຕ່ຊະນິດດຽວ	单克隆抗体
ພູມບັນຍາຕາມປະເພນີ	传统知识
ພູມປັນຍາຊາວບ້ານ	乡土知识
ພູມສັນຖານ	自然地理学
ພູມອາກາດປ່ຽນແປງ	气候变化
ພູມອາກາດວິທະຍາ	气候学
ພູມອາກາດຮ້ອນ	热带气候
ພູມອາກາດເຂດເມດີເຕີເຣນຽນ	地中海气候
ພູມີພາກພູຫິມາໄລ	西马拉雅地区
ພູມີສາດ	地理学
ພົກຍ່ຽວ	膀胱
ພົນລະກາຍ	军队
ພົນລະເມືອງ	人口
ພົມ	地毯
ພ້າ	刀子
ພ້າວ	椰子
ຟຣີອອນ	氟里昂
ຟຣຸກໂຕຄີເນສ	果糖激酶
ຟລູຊີລາໂຊລ	氟硅唑
ຟລູຣີຄອລ	羧芴素
ຟລູຣີນອລ	羧芴素
ຟລູອໍໂຣຢູຣາຊິລ	氟尿嘧啶
ຟລູອໍໂຣເຟນີລອາລານີນ	氟苯丙氨酸
ຟລູອໍໄຣນ	氟
ຟລູເຟນນອກຊູຣອນ	氟虫脲
ຟລູໂອໄຣດ	氟化物
ຟລູໄທຣອະຟອລ	粉唑醇
ຟອສຟາຕີດີລີໂນຊິທອລ	磷脂酰肌醇
ຟອສເຟດ(ເກືອ)	磷酸盐
ຟອສໂຟໄດແອສເທີເຣສ	磷酸二酯酶
ຟະຣີອູລີເວເນເຊຍກີອູເລຍ	弗留利-威斯朱利亚区
ຟະລໍຣິດາ	佛罗里达州
ຟັງ	侦听
ຟັນຟືມ	腮
ຟາມນໍາຮ່ອງ	试验农场
ຟິຼມປະລາສະຕິກ	塑料薄膜
ຟີນາມີຟອສ	苯线磷
ຟີມກິນໄດ້	可食性膜
ຟີລໍາ	门
ຟີໂນຊີຄາຣບ	苯氧威
ຟີໂນທຣີນ	苯醚菊酯
ຟີໂນພຣອປ	2,4,5-涕丙酸
ຟີໂນໄທອາຊີນ	吩噻嗪
ຟູຈຽນ	福建
ຟູຊິຄອກຊິນ	壳梭孢素
ຟູຣາໄທໂອຄາຣບ	呋菌唑
ຟູແຣນ	呋喃
ຟູໂກສ	岩藻糖
ຟູໂມນິຊິນ	串珠镰孢菌素类
ຟູໂຣຊີໄມດ	利尿磺胺
ຟູໄຈຣາ	富查伊拉
ຟົວກາ	鹅肝
ຟຼຸກໂຕສ	果糖
ຟຼູຄລໍຣາລິນ	氯乙氟乐
ຟຼູວານີເລຕ	氟胺氰菊酯
ຟຼູໂຣຊີເຟີຣ	氟草定
ຟຼູໂອເມທູຣອນ	伏草隆
ຟ້າຄຶ້ມ	云积度
ຟ້າແມບເຫຼື້ອມ	闪电
ຟໍສຟໍຣັສ	磷
ຟໍສຟໍໄລເປຊ	磷酸酶
ມວນສານຂອງຮ່າງກາຍທີ່ບໍ່ມີໄຂມັນ	去脂肪体重
ມວນສານຊີວະພາບ	生物产量
ມະນີປູຣະ	曼尼普尔区
ມະຫະກໍາ	会演
ມະຫາວິທະຍາໄລຈຸລາລົງກອນ	朱拉隆功大学
ມະຫາສະມຸກອິນເດຍ	印度洋
ມະຫາສະຫມຸດອັດລັງຕິກ	大西洋
ມະຫາສະຫມຸດອິນເດຍຕອນກາງ	中心印度洋
ມະຫາສະຫມຸດອິນເດຍຕາເວັນຕົກ	西印度洋
ມະຫາສະຫມຸດອິນເດຍຕາເວັນອອກ	东印度洋
ມະຫາສະຫມຸດອິນເດຍເຫນືອ	北印度洋
ມະຫາສະຫມຸດອິນເດຍໃຕ້	南印度洋
ມັດທໍ່ລໍາລຽງນ້ໍາແລະອາຫານ	维管束
ມັນ	这
ມັ່ງຄໍຍາວ	长颈鹿
ມາດຖານການດໍາລົງຊີວິດ	生活标准
ມາຕັງຊາ	马坦萨斯
ມານິໂຕບາ	马尼托巴湖
ມາລິກເອນໄຊມ	苹果酸酶
ມາເລເຊຍຕາເວັນອອກ	东马来西亚
ມິກຊີແກນ	密歇根州
ມິດ	友人
ມິດຊິດຊິບປີ	密西西比州
ມິດສູຣີ	密苏里州
ມິລີແມັດ	毫米
ມິວຊິນ	粘蛋白
ມິໂກຣແມັດ	微米
ມີຄວາມຊື່ສັດ	正直
ມີຊີອັອນ	米西奥内斯省
ມີຊົວກັງ	米却肯州
ມີດ	刀
ມີຣັນດາ	米兰达州
ມີຣາຄິວລີນ	神秘果素
ມີເນັດໂຊຕາ	明尼苏达州
ມີໂກຼຄອມພິວເຕີ	微机
ມື້	日
ມຸມ	拐角
ມູຍໂກໂປລີຊັກຄາໄຣດ	黏多糖
ມູນ	屎
ມູນຄ່າຜັນແປ	变动成本
ມູນຄ່າສັງຄົມ	社会成本
ມູນຄ່າຫົວຫນ່ວຍ	单位成本
ມູນຄ່າໃຊ້ສອຍ	利用成本
ມູນຄ່າໄມ້ຢືນຕົ້ນ	立木材积价格
ມົງເຊີຣັດ	蒙特塞拉特岛
ມົດ	蚂蚁
ມົດລູກ	子宫
ມົດລູກບິດບ້ຽວ	子宫扭转
ມົນທິນ	污
ມົນລະພິດຂ້າມແດນ	跨域污染
ມົນລະພິດທີ່ເກີດຈາກໂລຫະ	赭石污染
ມົນລະພິດນ້ໍາ	水污染
ມົນລະພິດນ້ໍາໃຕ້ດິນ	地下水污染
ມົວ	阴暗
ມ່ວນ	好玩
ມ້າ	马
ມ້າທັງຫມົດ	种马
ມ້ານ້ອຍ	矮种马
ມ້າແມ່ນ້ອຍ	青年母马
ມ້າແມ່ນ້ໍາ	河马
ມ້າແມ່ຫນຸມ	母马
ມ້າໃສ່ອານ	乘用马
ມໍຣແຟກຕີນ	形态素
ຢັບ	雅浦岛
ຢາກໍາຈັດວັດຊະພືດທີ່ບໍ່ເປັນອັນຕະລາຍຕໍ່ພືດທີ່ປູກ	除草安全剂
ຢາກໍາຈັດສັດຕູພືດແບບເຈາະຈົງເລືອກທໍາລາຍ	农药专化性
ຢາກໍາຈັດສັດຕູພືດແບບເລືອກທໍາລາຍ	农药的选择性
ຢາຂ້ານົກ	杀鸟剂
ຢາຂ້າສັດຕູພືດຈາກພຶກສາຊາດ	植物源农药
ຢາຂ້າສັດຕູພືດຈໍາພວກບັກເຕຣີ	细菌农药
ຢາຂ້າຫຍ້າ	除草剂
ຢາຂ້າຫຍ້າຄຼໍແລັມເບນ	草灭平
ຢາຂ້າຫຍ້າບີນາໂຊລິນ	草除灵
ຢາຂ້າຫຍ້າເບັນຊັນຟູຣອນ	甜安宁
ຢາຂ້າຫຍ້າເບັນຕາໂຊນ	灭草松
ຢາຂ້າຫນູຄຼໍໂຣຟາຊິນອນ	氯鼠酮
ຢາຂ້າເຊື້ອໂລກ	杀细菌剂
ຢາຂ້າເຫັດຄລໍໂຣທາໂລນິລ	百菌清
ຢາຂ້າເຫັດເບໂນດານິລ	碘萎灵
ຢາຂ້າເຫັດໄບແທັກທານອລ	灭菌醇
ຢາຂ້າແມງໄມ້ຄຼໍດິຄອນ	开蓬
ຢາຂ້າແມງໄມ້ສະກັດຈາກພຶກສາຊາດ	植物杀虫剂
ຢາງທໍາມະຊາດ	人造橡胶
ຢາງປູທາງ	沥青
ຢາງໄມ້ສີຂາວ	古塔胶
ຢາຊູກໍາລັງຄລໍມາດິນອນ	氯化孕酮
ຢາຕ້ານເຊື້ອ	抗生素
ຢາຕ້ານເຊື້ອຈຸລິນຊີ	抗菌剂
ຢາທີ່ມີສານຕົກຄ້າງໃນຮ່າງກາຍ	药物残留物
ຢາບໍາລຸງກໍາລັງ	回苏药
ຢາບໍາລຸງປະສາດ	拟神经类药
ຢາປົວກະເພາະລໍາໃສ້	胃肠道药物
ຢາປ້ອງກັນແລະປາບສັດຕູພືດທີ່ເຮັດດ້ວຍຈຸລິນຊີບ	微生物农药
ຢາຟລູນິກຊິນ	碲酸葡糖
ຢາມີກຣູມິນ	葡甲胺
ຢາລະບາຍຫ່ຽວ	利尿药
ຢາວັກຊີນ	疫苗
ຢາວັກຊີນເຊື້ອເປັນ	活疫苗
ຢາສໍາລັບກວດສອບເຊື້ອວັນນະໂລກ	结核菌素
ຢາຫຼຸດຜ່ອນຄວາມເຄັ່ງຕຶງຂອງກ້າມຊີ້ນ	肌肉松弛剂
ຢາຮັກສາເນື້ອໄມ້	木材防腐剂
ຢາຮັກສາໂລກມະເລັງ	抗肿瘤药
ຢາແກ້ອັກເສບ	消炎媒介物
ຢາແກ້ໄຂ້	清热药
ຢິບຊໍາ	石膏
ຢີນ	基因
ຢີນທຽມ	假基因
ຢີນລັບ	隐性基因
ຢີນເດັ່ນ	显性基因
ຢີນໂຮມີໂອຕິດ	同源异型基因
ຢີບຣາຣັນຕາ	直布罗陀
ຢຸດ	停止
ຢຸໄນເຕັດອາຣັບເອມີເຣັດ	阿拉伯联合酋长国
ຢູຈີນອລ	丁子香酚
ຢູທາ	犹他州
ຢູພີອີບີ	香蕉出口国联盟
ຢູຣີດີນ	尿苷
ຢູຣີເອສ	脲酶
ຣັດຊະອານໄຄມາ	哈伊马角
ຣາດາປ່ອງເປີດສັງເຄາະ	合成孔径雷达
ຣິມຊັນຟູໂຣນ	玉嘧磺隆
ຣິໂອກະຣັງໂດຊູນ	南里奥格兰德州
ຣິໂອກະຣັງໂດນັອກ	北里奥格兰德州
ຣີດູໄຊມອລ	三环苯嘧醇
ຣຸກຄະວິທະຍາ	测树学
ຣູບີດຽມ	铷
ຣໍໂມນຣີແລກຊິນ	松弛素
ລະດັບການບໍາລຸງລ້ຽງ	营养级
ລະດັບນ້ໍາທະເລ	海平面
ລະດັບອາຊິດ-ດັ່ງໃນເລືອດ	血液ph值
ລະດູການ	季节
ລະດູການປະສົມພັນສັດ	繁殖季节
ລະດູອົບອຸ່ນ	暖季
ລະດູຮ້ອນ	夏季
ລະບອບຄອມມູນິດ	共产主义
ລະບອບທຶນນິຍົມ	资本主义
ລະບອບຜະເດັດການ	独裁政体
ລະບອບເສດຖະກິດສອງດ້ານ	二元经济学说
ລະບາດວິທະຍາ	流行病学
ລະບົບກັນສະເທືອນ	悬挂装置
ລະບົບການກະສິກໍາປະມົງ	农渔综合养殖
ລະບົບການປະຕິບັດ	全身运动
ລະບົບການປຽບທຽບແພຈຸລັງຕົ້ນຕໍ	主要组织相容性复合体
ລະບົບການໃຫ້ອາຫານ	饲养制度
ລະບົບຂໍ້ມູນຂ່າວສານ	信息系统
ລະບົບຂໍ້ມູນຂ່າວສານພູມສາດ	地理信息系统
ລະບົບຄອມພິວເຕີ(ຊອບແວ)	计算机系统(软件)
ລະບົບນິເວດ	生态系统
ລະບົບນ້ໍາເຫຼືອງ	淋巴系统
ລະບົບບໍາບັດນ້ໍາ	放射矿物质
ລະບົບປະຕິບັດການຂອງໂທລະສັບມືຖື	行动作业系统
ລະບົບປ່ອຍຢູ່ທົ່ງຫຍ້າ	放牧制度
ລະບົບຜະລິດກະສິກໍາ	农业系统
ລະບົບຜູ້ຊ່ຽວຊານ	专家系统
ລະບົບມັດຊັກນໍາພືດ	植物维管系统
ລະບົບມຸນຄ່າ	价值体系
ລະບົບສູນກາງປະສາດ	中枢神经系统
ລະບົບຫນ່ວຍຄວາມຈໍາທີ່ເກັບຄ່າຂໍ້ມູນໃຊ້ປະຈໍາ	快取区
ລະບົບຫຼອດເລືອດຫົວໃຈ	心血管系统
ລະບົບຮີໂດຼລິກ	液压系统
ລະບົບແຕກແຫນງຂອງປ່າ	矮林
ລະວ່າງສອງຍີນໃນດີເອນເອ	间隔脱氧核糖核酸
ລະຫັດສໍາພັນທາງກໍາມະພັນ	遗传相关
ລະຫັດອະນຸຍາດການຕິດຕັ້ງຫຼາຍເຄື່ອງ	批量许可证密钥
ລະຫັດແລກປ່ຽນຂໍ້ມູນຕາມມາດຕະຖານອາເມລິກາ	美国讯息交换标准代码
ລັກຕຸຍໂລສ	乳果糖
ລັກສະນະຂອງພື້ນທີ່	农田形状
ລັກສະນະຂອງພື້ນທີ່ປ່າ	林分特征
ລັກສະນະຂອງຢາກໍາຈັດສັດຕູພືດ	农药性质
ລັກສະນະທີ່ເກີດມາຕາມພາຍຫຼັງ	获得性状
ລັກສະນະທີ່ໄດ້ຈາກການອົບ	烘烤特性
ລັກສະນະພືດປູກ	作物特性
ລັກສະນະພູມສັນຖານ	地文特征
ລັງສັນນິຍົມ	创造论
ລັງສີນິເວດວິທະຍາ	辐射生态学
ລັງສີວິທະຍາ	放射照相
ລັງສີອຸລຕຣາວີໂອລແດ	紫外线照射
ລັງສີເອັກສ	x-射线
ລັງເກິດົກຣູດຊີລົງ	郎格多克-鲁西永大区
ລັດ	国家
ລັດຕ່າງໆໃນອ່າວ	海湾地区国家
ລັດຖະບານ	政府
ລັດທິທຶນນິຍົມ	资本主义
ລັດທິອານານິຄົມ	殖民主义
ລັດທີ່ເປັນເກາະດອນນ້ອຍກໍາລັງພັດທະນາ	小型岛屿发展中国家
ລັດພາກຕາເວັນອອກສ່ຽງເຫນືອ	东北州
ລັດວິສາຫະກິດ	国有企业
ລັດເຊັຽ	俄国
ລັດເວັຍ	拉脱维亚
ລັດໃນເຂດທົ່ງພຽງພາກເຫນືອ	北部平原州
ລາຄາຊີ້ນໍາ	控制价格
ລາຍການຊ້ອນ	串联功能表
ລາຍການຍ່ອຍ	子功能表
ລາຍການບັນເທີງ	播放清单
ລາຍຊື່ຫນ່ວຍນັບເວລາ	时间
ລາຕີອຸມ	拉齐奥区
ລາບ	蜜蜡
ລາມີເນດ	包装材料
ລາມີເນດ	包装膜
ລາມີເນດ	复合薄膜
ລາມີເນດ	收缩薄膜
ລາມີເນດ	箔
ລາມີເນດ	纤维素膜
ລາຣິໂອຈາ	拉里奥哈省
ລາວ	寮国
ລາວ	老挝
ລາວ	老挝人民民主共和国
ລາວ	老挝语
ລຳຄອງ	运河
ລຳຄໍ	喉咙
ລຳຄໍ	嗓子
ລິງ	性别
ລິງຄະ	屌
ລິງຄະ	阳具
ລິງຄະ	阳物
ລິງຄະ	阴茎
ລິງຄະ	鸡巴
ລິງຄະ	鸟
ລິດ	公升
ລິດ	升
ລິນຸກຊ໌	利纳克斯
ລິນໂຄໄມຊິນ	丝裂霉素
ລິນໂຄໄມຊິນ	两性霉素
ລິນໂຄໄມຊິນ	亚德里亚霉素
ລິນໂຄໄມຊິນ	利福霉素
ລິນໂຄໄມຊິນ	制霉菌素
ລິນໂຄໄມຊິນ	原始霉素
ລິນໂຄໄມຊິນ	弗氏菌丝素
ລິນໂຄໄມຊິນ	抗敌素
ລິນໂຄໄມຊິນ	抗生素
ລິນໂຄໄມຊິນ	放线壮观素
ລິນໂຄໄມຊິນ	林可霉素
ລິນໂຄໄມຊິນ	桔螨素
ລິນໂຄໄມຊິນ	氯林肯霉素
ລິນໂຄໄມຊິນ	潮霉素
ລິນໂຄໄມຊິນ	环孢素
ລິນໂຄໄມຊິນ	环孢菌素
ລິນໂຄໄມຊິນ	结肠霉素
ລິນໂຄໄມຊິນ	阿伏霉素
ລິນໂຄໄມຊິນ	阿霉素
ລິນໂຄໄມຊິນ	青霉素酸
ລິບ	升降机
ລິບ	电梯
ລິຟ	升降机
ລິຟ	电梯
ລິໂປໂພລີແຊກຄາໄຣດ	脂多糖
ລິ່ນ	偶蹄目
ລິ່ນ	单孔目
ລິ່ນ	哺乳动物
ລິ່ນ	枝懒
ລິ່ນ	狐猴
ລິ່ນ	猫猴
ລິ່ນ	穿山甲
ລິ່ນ	管齿目
ລິ່ນ	贫齿目
ລິ່ນ	蹄兔目
ລິ່ນ	长鼻目
ລິ່ນ	食蚁动物
ລິ່ນ	鳞甲目
ລິ້ນ	信
ລິ້ນ	内脏
ລິ້ນ	心
ລິ້ນ	用语
ລິ້ນ	肚
ລິ້ນ	肝脏
ລິ້ນ	肺
ລິ້ນ	脑
ລິ້ນ	自然语言
ລິ້ນ	舌
ລິ້ນ	舌头
ລິ້ນ	言语
ລິ້ນ	词语
ລິ້ນ	语文
ລິ້ນ	语言
ລິ້ວຕາດ	帚
ລິ້ວຕາດ	扫帚
ລິ້ວຕາດ	扫把
ລີກນິນ	木质素
ລີງ	猴子
ລີງກໍລີລາ	大猩猩
ລີງກໍລີລາ	大猩猩属
ລີງກໍລີລາ	无尾猿
ລີງກໍລີລາ	暴徒
ລີງກໍລີລາ	狐猴
ລີງກໍລີລາ	狒
ລີງກໍລີລາ	狒狒
ລີງກໍລີລາ	猴子
ລີງກໍລີລາ	猿猴
ລີງກໍລີລາ	类人猿
ລີງກໍລີລາ	西部低地大猩猩
ລີງກໍລີລາ	黑鬼
ລີງຊິມແພນຊີ	黑猩猩
ລີງຊີມປັງເຊ	树鼩鼱
ລີງຊີມປັງເຊ	灵长目
ລີງຊີມປັງເຊ	狐猴属
ລີງຊີມປັງເຊ	黑猩猩
ລີບ	升降机
ລີບ	叉式装载机
ລີບ	斗式升运机
ລີບ	装载器
ລີປອຍ	神经酰胺
ລີປອຍ	类脂
ລີປອຍ	脂类
ລີປິດ	脂类
ລີວຊີນ	亮氨酸
ລີເບຍ	利比亚
ລີເບຍອາຣັບຈາມາຮິຣິຢາ	阿拉伯利比亚民众国
ລີ້ນ	舌
ລີ້ນ	舌头
ລີ້ນອັກເສບ	口腔疾病
ລີ້ນອັກເສບ	咽炎
ລີ້ນອັກເສບ	牙周炎
ລີ້ນອັກເສບ	牙周疾病
ລີ້ນອັກເສບ	牙周病
ລີ້ນອັກເສບ	舌炎
ລີ້ນອັກເສບ	齿龈炎
ລຶດູໃບໄມ້ຫລົ່ນ	秋天
ລຶດູໃບໄມ້ຫລົ່ນ	秋季
ລຶບ	删除
ລຶ້ມຄືນໃຫມ່	刷新
ລຶ້ມຄືນໃຫມ່	重新整理
ລືມ	忘
ລືມ	忘掉
ລືມ	忘记
ລື່ງ	戚施
ລື່ງ	疥蛤蟆
ລື່ງ	癞蛤蟆
ລື່ງ	蟾蜍
ລື້ມຄືນຊ້າໆ	重复延迟
ລຸກຊຳບົວ	卢森堡
ລຸກຊໍາບັ້ວກ	卢森堡
ລຸງ	伯伯
ລຸງ	伯父
ລຸງ	叔叔
ລຸງ	叔父
ລຸງ	姑丈
ລຸງ	姑父
ລຸງ	姨丈
ລຸງ	姨夫
ລຸງ	姨父
ລຸງ	舅父
ລຸງ	舅舅
ລູກ	孩子
ລູກ	小孩
ລູກ	小孩儿
ລູກ	小孩子
ລູກກະແຈ	钥匙
ລູກຄິດ	算盘
ລູກຄ້າ	顾客
ລູກຊອດເກີດຈາກຈຸລັງຮ່າງກາຍ	体细胞杂种
ລູກຊາຍ	儿子
ລູກຊາຍ	子
ລູກຊາຍ	雄性后代
ລູກທີ່ເກີດຈາກການປະສົມຂ້າມພັນ	杂交种
ລູກປາຂະຫນາດນ້ອຍ	鱼秧
ລູກພັນດຽວກັນ	纯合子
ລູກພັນຕ່າງກັນ	杂合子
ລູກມ້າ	驹
ລູກສອນ	矢
ລູກສອນ	箭
ລູກສອນ	箭号
ລູກສອນ	箭头
ລູກສອນຊີ້ເບື້ອງຂວາ	向右键
ລູກສອນຊ້າຍ	向左键
ລູກສອນເລື່ອນ	捲动箭号
ລູກສອນເລື່ອນ	滚动箭头
ລູກສາວ	女
ລູກສາວ	女儿
ລູກສາວ	姑娘
ລູກສາວ	闺女
ລູກສາວ	雌性后代
ລູກຫມາ	小狗
ລູກຫມູ	仔猪
ລູກຫມູ	小猪
ລູກຫມູ	猪崽
ລູກຫມູ	豚
ລູກອ່ອນຕາຍກ່ອນເກີດ	死产
ລູກອ່ອນຕາຍກ່ອນເກີດ	死胎
ລູກອ່ອນຕາຍກ່ອນເກີດ	胎儿吸收
ລູກອ່ອນຕາຍກ່ອນເກີດ	胎儿木乃伊化
ລູກອ່ອນຕາຍກ່ອນເກີດ	胎死
ລູກເຄືອຂ່າຍໃຊ້ວິນໂດໄດ້	激活客户端
ລູກແຝດ	双生
ລູກແຝດ	双胞胎
ລູກໝາ	小狗
ລູກໝູ	仔猪
ລູກໝູ	小猪
ລູກໝູ	猪崽
ລູກໝູ	豚
ລູປູໂລນ	蛇麻酮
ລູມານີ	罗马尼亚
ລົງ	下
ລົງ	着地
ລົງ	着陆
ລົງ	著地
ລົງ	著陆
ລົງຮາກ	吐
ລົງຮາກ	呕
ລົງຮາກ	呕吐
ລົດ	公交
ລົດ	公交车
ລົດ	公共汽车
ລົດ	公汽
ລົດ	公车
ລົດ	巴士
ລົດ	机动车
ລົດ	汽车
ລົດ	自动车
ລົດ	车
ລົດ	车辆
ລົດກະບະ	皮卡
ລົດກະບະ	皮卡车
ລົດຈັກ	摩托
ລົດຈັກ	摩托车
ລົດຈັກ	机器脚踏车
ລົດຈັກ	机车
ລົດຈັກ	电单车
ລົດຈັກ	速克达
ລົດຍົນ	汽车
ລົດຍົນ	自动车
ລົດຍົນ	车
ລົດດຸດ	大型挖土设备
ລົດດຸດ	推土机
ລົດດຸດ	推土铲
ລົດຕັກເຕິ	拖拉机
ລົດຕັກເຕິ	铁牛
ລົດຕູ້	多功能休旅车
ລົດຕູ້	微面
ລົດຖີບ	单车
ລົດຖີບ	脚踏车
ລົດຖີບ	自由车
ລົດຖີບ	自行车
ລົດຖີບ	铁马
ລົດບັດ	公交
ລົດບັດ	公交车
